periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,_TYPE_,_FREQ_,e
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2001,1,65535,1,1454222
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2001,2,65535,1,1546399
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2001,3,65535,1,1504978
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2001,4,65535,1,1491051
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2002,1,65535,1,1479671
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2002,2,65535,1,1514339
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2002,3,65535,1,1487637
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2002,4,65535,1,1487851
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2003,1,65535,1,1473883
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2003,2,65535,1,1499662
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2003,3,65535,1,1482224
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2003,4,65535,1,1492080
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2004,1,65535,1,1480219
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2004,2,65535,1,1536666
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2004,3,65535,1,1521403
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2004,4,65535,1,1521581
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2005,1,65535,1,1540304
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2005,2,65535,1,1573510
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2005,3,65535,1,1567241
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2005,4,65535,1,1592303
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2006,1,65535,1,1566537
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2006,2,65535,1,1595381
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2006,3,65535,1,1583831
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2006,4,65535,1,1577450
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2007,1,65535,1,1587276
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2007,2,65535,1,1622792
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2007,3,65535,1,1597557
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2007,4,65535,1,1595195
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2008,1,65535,1,1573408
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2008,2,65535,1,1604176
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2008,3,65535,1,1580768
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2008,4,65535,1,1526221
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2009,1,65535,1,1466724
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2009,2,65535,1,1483500
Q,U,S,01,A,0000,A05,0,A00,A0,A0,E0,0,0,2009,3,65535,1,1448036
